raw_frame_id,raw_filename,frame_number,timestamp,extraction_rate,brightness,contrast,blur_edge_score,perceptual_hash,duplicate_distance,duplicate_of,script_suggestion,script_reason,final_decision,final_reason,final_curated_image_id,final_curated_filename,reviewer,comment
nosferatu_raw_000005,raw_frames/nosferatu_raw_000005.jpg,5,00:00:40,1 frame / 10 sec,18.663,28.068,2.503,0038383c38381000,47,,remove,blurred,kept,,nosferatu_000005,nosferatu_000005.jpg,,
nosferatu_raw_000013,raw_frames/nosferatu_raw_000013.jpg,13,00:02:00,1 frame / 10 sec,89.5,38.31,15.528,ffff3838383a393b,39,,review,usable_candidate,kept,,nosferatu_000013,nosferatu_000013.jpg,,
nosferatu_raw_000023,raw_frames/nosferatu_raw_000023.jpg,23,00:03:40,1 frame / 10 sec,22.955,23.223,4.479,003fff7f00000000,0,nosferatu_raw_000022,remove,near_duplicate,kept,,nosferatu_000023,nosferatu_000023.jpg,,
nosferatu_raw_000044,raw_frames/nosferatu_raw_000044.jpg,44,00:07:10,1 frame / 10 sec,70.924,34.348,30.943,0d6fb7fe38060020,22,,review,usable_candidate,kept,,nosferatu_000044,nosferatu_000044.jpg,,
nosferatu_raw_000048,raw_frames/nosferatu_raw_000048.jpg,48,00:07:50,1 frame / 10 sec,45.894,14.423,2.587,181e3fbfbe3c2624,20,,remove,blurred,kept,,nosferatu_000048,nosferatu_000048.jpg,,
nosferatu_raw_000054,raw_frames/nosferatu_raw_000054.jpg,54,00:08:50,1 frame / 10 sec,75.536,36.555,37.545,7f3f3e1c0e085e58,29,,review,usable_candidate,kept,,nosferatu_000054,nosferatu_000054.jpg,,
nosferatu_raw_000056,raw_frames/nosferatu_raw_000056.jpg,56,00:09:10,1 frame / 10 sec,79.024,33.32,32.543,7338fce4c4cd8000,25,,review,usable_candidate,kept,,nosferatu_000056,nosferatu_000056.jpg,,
nosferatu_raw_000059,raw_frames/nosferatu_raw_000059.jpg,59,00:09:40,1 frame / 10 sec,91.822,27.658,22.055,cfcf3b1c1860256f,29,,review,usable_candidate,kept,,nosferatu_000059,nosferatu_000059.jpg,,
nosferatu_raw_000064,raw_frames/nosferatu_raw_000064.jpg,64,00:10:30,1 frame / 10 sec,50.42,39.49,36.215,7e7e7e5e7e7c6040,0,nosferatu_raw_000063,remove,near_duplicate,kept,,nosferatu_000064,nosferatu_000064.jpg,,
nosferatu_raw_000076,raw_frames/nosferatu_raw_000076.jpg,76,00:12:30,1 frame / 10 sec,64.589,34.971,32.233,7e7e7e7a7e6e2a02,24,,review,usable_candidate,kept,,nosferatu_000076,nosferatu_000076.jpg,,
nosferatu_raw_000078,raw_frames/nosferatu_raw_000078.jpg,78,00:12:50,1 frame / 10 sec,64.766,39.742,33.735,7e7e7c7e7a5c6470,26,,review,usable_candidate,kept,,nosferatu_000078,nosferatu_000078.jpg,,
nosferatu_raw_000081,raw_frames/nosferatu_raw_000081.jpg,81,00:13:20,1 frame / 10 sec,62.407,29.629,27.349,3e7bffbc5c7c1400,19,,review,usable_candidate,kept,,nosferatu_000081,nosferatu_000081.jpg,,
nosferatu_raw_000083,raw_frames/nosferatu_raw_000083.jpg,83,00:13:40,1 frame / 10 sec,64.018,27.23,26.529,3fdedfff760c0200,5,nosferatu_raw_000082,remove,near_duplicate,kept,,nosferatu_000083,nosferatu_000083.jpg,,
nosferatu_raw_000085,raw_frames/nosferatu_raw_000085.jpg,85,00:14:00,1 frame / 10 sec,18.282,21.287,5.717,70f8f070f2900800,23,,review,usable_candidate,kept,,nosferatu_000085,nosferatu_000085.jpg,,
nosferatu_raw_000088,raw_frames/nosferatu_raw_000088.jpg,88,00:14:30,1 frame / 10 sec,16.784,19.963,5.798,70f8f870f2f00800,25,,remove,black_frame,kept,,nosferatu_000088,nosferatu_000088.jpg,,
nosferatu_raw_000089,raw_frames/nosferatu_raw_000089.jpg,89,00:14:40,1 frame / 10 sec,16.921,19.68,5.197,20fa7af2d0b00000,11,,remove,black_frame,kept,,nosferatu_000089,nosferatu_000089.jpg,,
