image_id,annotator_1_object_label,annotator_2_object_label,annotator_1_narrative_label,annotator_2_narrative_label,annotator_1_confidence,annotator_2_confidence,annotator_1_requires_context,annotator_2_requires_context,agreement_status,type_of_disagreement,resolution,comment
nosferatu_000005,frightened_faces,frightened_faces,unknown_ambiguous,unknown_ambiguous,medium,medium,no,no,agreement,none,frightened_faces / unknown_ambiguous,Πρόσωπο κοιτάει αποφασισμένο
nosferatu_000054,frightened_faces,dark_figures,unknown_ambiguous,unknown_ambiguous,medium,low,yes,no,disagreement,object,dark_figures / unknown_ambiguous,Frame εικόνας που εργάζονται άνθρωποι στα χωράφια
nosferatu_000078,demon_figures,dark_figures,occult_symbolism,occult_symbolism,low,low,no,no,disagreement,object,demon_figures / occult_symbolism,Frame χαρακτήρα αιωρειτε με κρυάρι
nosferatu_000089,dark_figures,dark_figures,unknown_ambiguous,unknown_ambiguous,medium,low,yes,no,disagreement,context / confidence, dark_figures / unknown_ambiguous, Frame δείχνει κυρίες που ετοιμάζουν τελετή
nosferatu_000101,satanic_symbols,satanic_symbols,occult_symbolism,occult_symbolism,high,medium,no,no,disagreement,confidence,satanic_symbols / occult_symbolism,Frame δείχνει σατανικά αντικείμενα μέσα σε bowl
nosferatu_000113,frightened_faces,frightened_faces,unknown_ambiguous,unknown_ambiguous,low,low,no,no,agreement,none,frightened_faces / unknown_ambiguous,Frame δείχνει χαρακτήρα να βάζει νερό γελόντας
nosferatu_000121,frightened_faces,frightened_faces,unknown_ambiguous,unknown_ambiguous,low,low,no,no,agreement,none,frightened_faces / unknown_ambiguous,Frame δείχνει χαρακτήρα να τρώει
nosferatu_000127,dark_figures,dark_figures,unknown_ambiguous,unknown_ambiguous,high,low,no,no,disagreement,confidence,dark_figures / unknown_ambiguous,Frame δείχνει αντρόγυνο
nosferatu_000148,torture_scene,dark_figures,ritual_or_curse,body_vulnerability,high,high,no,no,disagreement,object / narrative,torture_scene / body_vulnerability,Frame δείχνει θυσία με μαχαίρι
nosferatu_000162,frightened_faces,frightened_faces,unknown_ambiguous,unknown_ambiguous,high,high,yes,no,disagreement,context,frightened_faces / unknown_ambiguous,Frame δείχνει γυναίκα τρομαγμένη στο κρεβάτι της
nosferatu_000175,satanic_symbols,dark_figures,occult_symbolism,occult_symbolism,medium,medium,no,no,disagreement,object,dark_figures / occult_symbolism,Frame δείχνει να ετοιμάζει κάτι
nosferatu_000181,frightened_faces,frightened_faces,unknown_ambiguous,unknown_ambiguous,medium,medium,yes,no,disagreement,context,frightened_faces / unknown_ambiguous,Frame δείχνει τρομαγμένη γυναίκα
nosferatu_000192,satanic_symbols,satanic_symbols,unknown_ambiguous,unknown_ambiguous,low,low,no,no,agreement,none,satanic_symbols / unknown_ambiguous,Frame δείχνει κέρματα
nosferatu_000203,frightened_faces,dark_figures,unknown_ambiguous,unknown_ambiguous,low,low,yes,yes,disagreement,object,frightened_faces / unknown_ambiguous,Frame δείχνει γυναίκες με περίεργη ένδυση
nosferatu_000222,torture_scene,dark_figures,ritual_or_curse,ritual_or_curse,medium,medium,yes,no,disagreement,object / context,torture_scene / ritual_or_curse,Frame δείχνει χαρακτήρες να ετοιμάζονται για τελετή
nosferatu_000232,frightened_faces,frightened_faces,unknown_ambiguous,unknown_ambiguous,low,low,yes,no,disagreement,context,frightened_faces / unknown_ambiguous,Frame δείχνει πρόσωπο γυναίκας
nosferatu_000242,dark_figures,dark_figures,unknown_ambiguous,unknown_ambiguous,low,low,no,no,agreement,none,dark_figures / unknown_ambiguous,Frame δείχνει άτομα να ετοιμάζουν κάτι στο τραπέζι και να συζητούν
nosferatu_000250,dark_figures,dark_figures,unknown_ambiguous,unknown_ambiguous,low,low,no,no,agreement,none,dark_figures / unknown_ambiguous,Frame δείχνει τους ίδιους χαρακτήρες με το προηγούμενο να συζητούν
nosferatu_000259,dark_figures,dark_figures,unknown_ambiguous,unknown_ambiguous,low,low,no,no,agreement,none,dark_figures / unknown_ambiguous,Frame δείχνει χαρακτήρες να κοιτούν προς την ίδια κατεύθυνση
nosferatu_000270,dark_figures,dark_figures,unknown_ambiguous,occult_symbolism,low,medium,no,yes,disagreement,narrative / confidence / context,dark_figures / occult_symbolism;Frame δείχνει χαρακτήρες να μαζεύονται γύρω απο κάτι
nosferatu_000286,dark_figures,dark_figures,ritual_or_curse,ritual_or_curse,medium,medium,no,yes,disagreement,context,dark_figures / ritual_or_curse,Frame δείχνει τελετή με σύμβολα
nosferatu_000297,frightened_faces,frightened_faces,unknown_ambiguous,body_vulnerability,medium,medium,no,no,disagreement,narrative,frightened_faces / body_vulnerability,Frame δείχνει γιαγιά σε κακή κατάσταση
nosferatu_000322,satanic_symbols,satanic_symbols,ritual_or_curse,ritual_or_curse,high,high,no,no,agreement,none,satanic_symbols / ritual_or_curse,Frame δείχνει σατανικά σύμβολα 
nosferatu_000329,dark_figures,dark_figures,unknown_ambiguous,ritual_or_curse,low,low,no,no,disagreement,narrative,dark_figures / unknown_ambiguous,Frame δείχνει τελετή
nosferatu_000337,dark_figures,dark_figures,unknown_ambiguous,unknown_ambiguous,low,low,no,no,agreement,none,dark_figures / unknown_ambiguous,Frame δείχνει χαρακτήρες να συζητούν και να χαμογελούν
nosferatu_000349,dark_figures,dark_figures,unknown_ambiguous,unknown_ambiguous,low,high,no,no,disagreement,confidence,dark_figures / unknown_ambiguous,Frame δείχνει χαρακτήρες να κάθονται 
nosferatu_000359,dark_figures,dark_figures,unknown_ambiguous,unknown_ambiguous,low,low,no,no,agreement,none,dark_figures / unknown_ambiguous,Frame δείχνει χαρακτήρες να μιλάνε
nosferatu_000368,dark_figures,dark_figures,unknown_ambiguous,unknown_ambiguous,low,low,no,no,agreement,none,dark_figures / unknown_ambiguous,Frame δεέχνει μητέρα να κοιτάει το μωρό της
nosferatu_000376,dark_figures,dark_figures,unknown_ambiguous,unknown_ambiguous,low,low,no,no,agreement,none,dark_figures / unknown_ambiguous,Frame δείχνει χαρακτήρα να στέκεται στην είσοδο κρατόντας αντικείμενο
nosferatu_000394,dark_figures,dark_figures,unknown_ambiguous,unknown_ambiguous,low,low,no,no,agreement,none,dark_figures / unknown_ambiguous,Frame δείχνει χαρακτήρες να συζητούν
nosferatu_000406,torture_scene,torture_scene,body_vulnerability,body_vulnerability,medium,high,yes,no,disagreement,confidence / context,torture_scene / body_vulnerability,Frame δείχνει χαρακτήρα να βασανίζει θύμα
nosferatu_000412,dark_figures,dark_figures,unknown_ambiguous,unknown_ambiguous,low,low,no,no,agreement,none,dark_figures / unknown_ambiguous,Frame δείχνει χαρακτήρες σε μια γειτονιά
nosferatu_000430,dark_figures,dark_figures,unknown_ambiguous,body_vulnerability,low,low,no,yes,disagreement,narrative / context,dark_figures / unknown_ambiguous,Frame δείχνει θύμα να μιλάει με χαρακτήρα που τον βασάνιζε
nosferatu_000439,dark_figures,dark_figures,unknown_ambiguous,unknown_ambiguous,low,low,no,no,agreement,none,dark_figures / unknown_ambiguous,Frame δείχνει χαρακτήρες και ένα μωρό να μπαίνουν σε ένα δομάτιο
nosferatu_000458,demon_figures,demon_figures,supernatural_threat,supernatural_threat,medium,medium,no,no,agreement,none,demon_figures / supernatural_threat,Frame δείχνει ανθρωπόμορφες φιγούρες στην είσοδο δοματίου
nosferatu_000469,satanic_symbols,torture_scene,occult_symbolism,occult_symbolism,medium,medium,no,no,disagreement,object,satanic_symbols / occult_symbolism,Frame δείχνει αντικείμενα βασανιστηρίου
nosferatu_000475,torture_scene,torture_scene,body_vulnerability,body_vulnerability,high,high,no,no,agreement,none,torture_scene / body_vulnerability,Frame δείχνει δεμένο σήα πόδια χαρακτήρα, βασανίζεται
nosferatu_000493,satanic_symbols,torture_scene,occult_symbolism,occult_symbolism,medium,low,no,no,disagreement,object / context,torture_scene / occult_symbolism,Frame δείχνει αντικείμενα βασανιστηρίου
nosferatu_000500,frightened_faces,frightened_faces,unknown_ambiguous,unknown_ambiguous,high,high,yes,no,disagreement,context,frightened_faces / unknown_ambiguous,Frame δείχνει τρομαγμένη καλόγρια να κρατάει μαχαίρι
nosferatu_000507,frightened_faces,frightened_faces,unknown_ambiguous,unknown_ambiguous,high,high,yes,no,disagreement,context,frightened_faces / unknown_ambiguous,Frame δείχνει τρομαγμένη καλόγρια
