image_id,frame_filename,film_title,film_year,source_platform,source_url,license_status,access_date,timestamp,extraction_rate,curation_decision,notes
nosferatu_000005,nosferatu_000005.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:00:40,1 frame / 10 sec,kept,
nosferatu_000013,nosferatu_000013.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:02:00,1 frame / 10 sec,kept,
nosferatu_000023,nosferatu_000023.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:03:40,1 frame / 10 sec,kept,
nosferatu_000044,nosferatu_000044.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:07:10,1 frame / 10 sec,kept,
nosferatu_000048,nosferatu_000048.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:07:50,1 frame / 10 sec,kept,
nosferatu_000054,nosferatu_000054.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:08:50,1 frame / 10 sec,kept,
nosferatu_000056,nosferatu_000056.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:09:10,1 frame / 10 sec,kept,
nosferatu_000059,nosferatu_000059.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:09:40,1 frame / 10 sec,kept,
nosferatu_000064,nosferatu_000064.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:10:30,1 frame / 10 sec,kept,
nosferatu_000076,nosferatu_000076.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:12:30,1 frame / 10 sec,kept,
nosferatu_000078,nosferatu_000078.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:12:50,1 frame / 10 sec,kept,
nosferatu_000081,nosferatu_000081.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:13:20,1 frame / 10 sec,kept,
nosferatu_000083,nosferatu_000083.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:13:40,1 frame / 10 sec,kept,
nosferatu_000085,nosferatu_000085.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:14:00,1 frame / 10 sec,kept,
nosferatu_000088,nosferatu_000088.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:14:30,1 frame / 10 sec,kept,
nosferatu_000089,nosferatu_000089.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:14:40,1 frame / 10 sec,kept,
nosferatu_000093,nosferatu_000093.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:15:20,1 frame / 10 sec,kept,
nosferatu_000094,nosferatu_000094.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:15:30,1 frame / 10 sec,kept,
nosferatu_000095,nosferatu_000095.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:15:40,1 frame / 10 sec,kept,
nosferatu_000096,nosferatu_000096.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:15:50,1 frame / 10 sec,kept,
nosferatu_000101,nosferatu_000101.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:16:40,1 frame / 10 sec,kept,
nosferatu_000102,nosferatu_000102.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:16:50,1 frame / 10 sec,kept,
nosferatu_000104,nosferatu_000104.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:17:10,1 frame / 10 sec,kept,
nosferatu_000110,nosferatu_000110.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:18:10,1 frame / 10 sec,kept,
nosferatu_000112,nosferatu_000112.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:18:30,1 frame / 10 sec,kept,
nosferatu_000113,nosferatu_000113.jpg,Nosferatu,1922,Internet Archive,https://archive.org/details/...,public-domain claim by source; see source_rights_memo.md,2026-05-01,00:18:40,1 frame / 10 sec,kept,
